config,seed,fold,r2,rmse,aare
baseline,42,250-0_001,0.8502384424209595,5.9270000574824095,11.63487720489502
baseline,42,250-0_01,0.7300394177436829,12.333979271821985,13.240610122680664
baseline,42,250-0_1,0.6607805490493774,27.927310869161975,20.448680877685547
baseline,42,300-0_001,0.8634430766105652,4.8450577477949395,8.117140769958496
baseline,42,300-0_01,0.9199854731559753,4.939021781408396,7.71252965927124
baseline,42,300-0_1,0.490167498588562,23.101425113727426,10.05367374420166
baseline,42,350-0_001,0.8390772938728333,3.5619412703472975,10.721100807189941
baseline,42,350-0_01,0.6941115856170654,7.617859044916928,15.021986961364746
baseline,42,350-0_1,-0.3494163751602173,23.944383393475597,27.37636947631836
baseline,42,400-0_001,0.8194516897201538,2.333788543529997,9.40123462677002
baseline,42,400-0_01,0.8890703320503235,2.970445490091837,7.119311332702637
baseline,42,400-0_1,0.5504547357559204,11.322513426917823,15.349181175231934
baseline,42,450-0_001,0.6575363874435425,2.07131404043314,12.784589767456055
baseline,42,450-0_01,0.8376618027687073,2.724824717772545,5.568589687347412
baseline,42,450-0_1,0.40541714429855347,5.338240075004933,12.266313552856445
baseline,1,250-0_001,0.9150726199150085,4.463325676278766,7.459743499755859
baseline,1,250-0_01,-0.043033480644226074,24.243881869565953,17.435453414916992
baseline,1,250-0_1,0.3768841028213501,37.850632889771475,24.929105758666992
baseline,1,300-0_001,0.9080151319503784,3.976493310232734,7.190230369567871
baseline,1,300-0_01,0.7209430932998657,9.223650544665988,13.323261260986328
baseline,1,300-0_1,0.39338332414627075,25.19893384827707,5.779338359832764
baseline,1,350-0_001,0.8309972882270813,3.6502697936378916,11.279541969299316
baseline,1,350-0_01,0.7418781518936157,6.9978372775093876,12.499713897705078
baseline,1,350-0_1,-0.30815696716308594,23.575483150122686,25.19137954711914
baseline,1,400-0_001,0.7890307903289795,2.5227507137924725,9.105504989624023
baseline,1,400-0_01,0.8613272309303284,3.3211869827281877,6.909229755401611
baseline,1,400-0_1,0.6231482625007629,10.366720181865698,16.572969436645508
baseline,1,450-0_001,0.6266549825668335,2.162688001277378,13.880128860473633
baseline,1,450-0_01,0.859232485294342,2.5373445773327425,7.094680309295654
baseline,1,450-0_1,0.31161564588546753,5.7439068562173246,12.807170867919922
baseline,2,250-0_001,0.8358324766159058,6.205522895316467,9.349315643310547
baseline,2,250-0_01,0.6816480159759521,13.393892154482147,11.417912483215332
baseline,2,250-0_1,0.2297624945640564,42.0824545790575,28.635793685913086
baseline,2,300-0_001,0.8179092407226562,5.594819717843543,9.222928047180176
baseline,2,300-0_01,0.8630825877189636,6.460792844322289,9.092766761779785
baseline,2,300-0_1,0.2835797667503357,27.38475942615025,7.752823829650879
baseline,2,350-0_001,0.834783673286438,3.609147233918771,10.167760848999023
baseline,2,350-0_01,0.7571591138839722,6.787538767891847,12.376367568969727
baseline,2,350-0_1,-0.27693331241607666,23.292428629177174,25.24910545349121
baseline,2,400-0_001,0.8427154421806335,2.1782505125117195,8.802839279174805
baseline,2,400-0_01,0.8671684861183167,3.250485897421482,6.039793968200684
