cond,config,seed,r2,rmse,aare
RT-0_001,baseline,42,0.93389493227005,14.059504346725241,4.940103530883789
RT-0_01,baseline,42,0.8858925104141235,17.95092016215238,4.701455593109131
RT-0_1,baseline,42,0.8518883585929871,31.685829013202515,89.87787628173828
150-0_001,baseline,42,0.9533953666687012,4.642686585028828,1.7992284297943115
150-0_01,baseline,42,0.9890469312667847,4.529500268314824,3.884657859802246
150-0_1,baseline,42,0.9527131915092468,10.006326200253463,7.036173343658447
250-0_001,baseline,42,0.8880704641342163,3.3527286519269865,3.965700387954712
250-0_01,baseline,42,0.9549940824508667,2.2498938217541466,1.9205394983291626
250-0_1,baseline,42,0.9922479391098022,3.4506244149645457,3.055602550506592
300-0_001,baseline,42,0.833279013633728,7.880159655662471,8.491782188415527
300-0_01,baseline,42,0.9451765418052673,4.342426564985301,2.7180116176605225
300-0_1,baseline,42,0.9553775787353516,4.751830099812635,3.0930206775665283
350-0_001,baseline,42,0.709159255027771,4.814051984746407,18.191892623901367
350-0_01,baseline,42,0.9261660575866699,3.562329204547534,5.96675443649292
350-0_1,baseline,42,0.9109657406806946,7.832887704496967,10.925434112548828
400-0_001,baseline,42,0.7613705992698669,2.192299291978153,7.667261123657227
400-0_01,baseline,42,0.9666604995727539,0.9096074557691636,2.0626001358032227
400-0_1,baseline,42,0.9290592670440674,4.771683840616925,20.476686477661133
450-0_001,baseline,42,0.5784828662872314,1.5498441463992603,8.443232536315918
450-0_01,baseline,42,0.9775262475013733,0.8514214145082095,2.22749924659729
450-0_1,baseline,42,0.7961882948875427,4.426942758759261,16.297433853149414
RT-0_001,mono,42,0.9153508543968201,15.909769744261848,5.491820812225342
RT-0_01,mono,42,0.5897442102432251,34.03744957591289,10.122455596923828
RT-0_1,mono,42,0.4635423421859741,60.30289957593768,100.89231872558594
150-0_001,mono,42,0.9717091917991638,3.617238516066738,1.677962064743042
150-0_01,mono,42,0.9322413206100464,11.265861011419114,7.42199182510376
150-0_1,mono,42,0.9765415191650391,7.047818748732847,5.237546443939209
250-0_001,mono,42,0.9628024101257324,1.9327849575044727,2.0500497817993164
250-0_01,mono,42,0.7996268272399902,4.747305055365232,3.620715379714966
250-0_1,mono,42,0.9888625741004944,4.136019236034766,3.573251485824585
300-0_001,mono,42,0.7807639241218567,9.036409270550045,11.07821273803711
300-0_01,mono,42,0.8942370414733887,6.031373017790918,4.246136665344238
300-0_1,mono,42,0.9060301780700684,6.895701089226743,2.245561122894287
350-0_001,mono,42,0.7001044750213623,4.888416315608464,19.491859436035156
350-0_01,mono,42,0.8939353227615356,4.2696418154571,6.4986467361450195
350-0_1,mono,42,0.9218015074729919,7.3407841314002935,4.024203300476074
400-0_001,mono,42,0.8066328763961792,1.9734637430096746,6.883917808532715
400-0_01,mono,42,0.9364415407180786,1.2559177984290324,2.784419059753418
400-0_1,mono,42,0.7646805644035339,8.690658324560793,25.9249267578125
450-0_001,mono,42,0.3337252736091614,1.9485299340098166,9.766011238098145
450-0_01,mono,42,0.9094950556755066,1.70861010131547,6.094654083251953
450-0_1,mono,42,0.8018149733543396,4.365406963170967,19.235797882080078
RT-0_001,baseline,1,0.9057072401046753,14.189379865820863,6.677309989929199
RT-0_01,baseline,1,0.951145589351654,12.401816548834187,10.552139282226562
RT-0_1,baseline,1,0.5746620893478394,53.75480538112384,5.170209884643555
150-0_001,baseline,1,0.9082900881767273,14.048241469269605,9.790387153625488
150-0_01,baseline,1,0.9183996319770813,9.194286927727186,5.468951225280762
150-0_1,baseline,1,0.7655408382415771,32.650096609255996,47.9275016784668
250-0_001,baseline,1,0.6688859462738037,7.099337490495509,8.207714080810547
250-0_01,baseline,1,0.905383825302124,7.0632080803435535,7.002096652984619
250-0_1,baseline,1,-0.41441237926483154,27.484532670809823,14.944052696228027
300-0_001,baseline,1,0.9521726369857788,3.1990392911739316,7.8554840087890625
300-0_01,baseline,1,0.8457050323486328,4.870840205222254,7.051356315612793
300-0_1,baseline,1,0.9279384613037109,7.178631427787987,5.647058963775635
350-0_001,baseline,1,0.7179282903671265,4.289653021734392,14.33514404296875
350-0_01,baseline,1,0.8976864218711853,6.8489777964809795,3.5587782859802246
350-0_1,baseline,1,0.6240595579147339,8.095557287211754,25.047775268554688
400-0_001,baseline,1,0.9336073994636536,1.4320172781088383,7.4425129890441895
400-0_01,baseline,1,0.8035833835601807,4.389586845194977,5.797384738922119
400-0_1,baseline,1,0.8300771117210388,7.061403712704637,6.019927024841309
450-0_001,baseline,1,0.810621976852417,1.5955158249785422,10.622973442077637
450-0_01,baseline,1,0.704615592956543,4.163749182044539,10.332080841064453
450-0_1,baseline,1,0.8409540057182312,3.576811836854123,15.72425365447998
RT-0_001,mono,1,0.948509156703949,10.485505044586029,3.6743032932281494
RT-0_01,mono,1,0.9759534001350403,8.700821796057992,6.797367095947266
RT-0_1,mono,1,0.6376248598098755,49.6168768934145,9.554258346557617
150-0_001,mono,1,0.9155314564704895,13.482219147985129,8.143773078918457
150-0_01,mono,1,0.9906811714172363,3.1070796603085236,1.8744926452636719
150-0_1,mono,1,0.9652830362319946,12.56382326966466,23.918785095214844
250-0_001,mono,1,0.5758118033409119,8.035415459783527,7.642393589019775
250-0_01,mono,1,0.9974268674850464,1.1647991435402822,1.0134631395339966
250-0_1,mono,1,0.8892841339111328,7.6896267561994325,4.375720024108887
300-0_001,mono,1,0.985261082649231,1.775880114534233,4.125774383544922
300-0_01,mono,1,0.9697169661521912,2.1578821832563486,3.086850643157959
300-0_1,mono,1,0.9902212023735046,2.6444327985505334,3.201948881149292
350-0_001,mono,1,0.5285760164260864,5.545595865111838,18.894227981567383
350-0_01,mono,1,0.9475884437561035,4.901992019254615,6.9325432777404785
350-0_1,mono,1,0.8406064510345459,5.27135900155421,18.081384658813477
400-0_001,mono,1,0.9620364904403687,1.0828581036629208,4.824210166931152
400-0_01,mono,1,0.9695008993148804,1.7297296258746742,3.413648843765259
400-0_1,mono,1,0.9817613363265991,2.313457703100894,3.8204092979431152
450-0_001,mono,1,0.8594694137573242,1.3744271125298588,10.273710250854492
450-0_01,mono,1,0.702000617980957,4.182138911300423,5.041538715362549
450-0_1,mono,1,0.9704651236534119,1.5413529446293612,7.09757137298584
RT-0_001,baseline,2,0.9942446947097778,3.485321600590955,2.066174030303955
RT-0_01,baseline,2,0.992913007736206,4.253452021059951,2.211601734161377
RT-0_1,baseline,2,0.9596801996231079,11.203063028289197,13.038408279418945
150-0_001,baseline,2,0.9965991973876953,3.627150062386893,11.588090896606445
150-0_01,baseline,2,0.07781368494033813,35.47580980125313,9.349812507629395
150-0_1,baseline,2,0.7765629291534424,26.538925660156487,9.082315444946289
250-0_001,baseline,2,0.9953649044036865,1.1878204917086888,1.3317608833312988
250-0_01,baseline,2,0.9934363961219788,1.67985540925831,1.8125768899917603
250-0_1,baseline,2,0.9950655102729797,2.4088294335547538,1.5675712823867798
300-0_001,baseline,2,0.9795867800712585,1.4302283759587002,2.3206353187561035
300-0_01,baseline,2,0.9477100372314453,4.093076694242507,6.180428504943848
300-0_1,baseline,2,0.9489012360572815,7.019606787816993,4.391299247741699
350-0_001,baseline,2,0.9707801938056946,1.8317503886690347,4.953900337219238
350-0_01,baseline,2,0.9631189703941345,0.9259657856962425,1.6009247303009033
350-0_1,baseline,2,0.9982085824012756,0.686261470295808,0.669978141784668
400-0_001,baseline,2,0.961895763874054,1.0744086080446327,6.101193428039551
400-0_01,baseline,2,0.7585567831993103,1.6022617953362264,2.7496604919433594
400-0_1,baseline,2,0.9937508702278137,1.1810132591737132,3.48689341545105
450-0_001,baseline,2,0.5094096660614014,1.49441912679644,6.617238521575928
450-0_01,baseline,2,0.8317639827728271,4.278706261302336,11.235631942749023
450-0_1,baseline,2,0.9952303767204285,0.39040872308608393,0.8848578929901123
RT-0_001,mono,2,0.9917307496070862,4.177742592909168,1.9808690547943115
RT-0_01,mono,2,0.9967707991600037,2.8711538710754603,1.4936864376068115
RT-0_1,mono,2,0.9652378559112549,10.402333481970148,11.79983901977539
150-0_001,mono,2,0.9900493025779724,6.204417519230124,20.262113571166992
150-0_01,mono,2,-0.4116549491882324,43.89219080955632,9.656560897827148
150-0_1,mono,2,0.786690354347229,25.930506634395062,8.733760833740234
250-0_001,mono,2,0.9952505230903625,1.2023939909176344,1.9173098802566528
250-0_01,mono,2,0.9959688186645508,1.3164900122009022,1.5551364421844482
250-0_1,mono,2,0.9949331283569336,2.440929250277115,1.6607204675674438
300-0_001,mono,2,0.9685154557228088,1.7762267239124065,3.280951738357544
300-0_01,mono,2,0.8741931319236755,6.348818403229651,9.960112571716309
300-0_1,mono,2,0.9413796067237854,7.518515556403072,5.296688556671143
350-0_001,mono,2,0.9779155850410461,1.5924686441972618,3.478444814682007
350-0_01,mono,2,0.9598990082740784,0.9655409853536698,1.7155176401138306
350-0_1,mono,2,0.9974315762519836,0.8217197155479827,0.8531495928764343
400-0_001,mono,2,0.9633547067642212,1.0536387562887302,5.744210720062256
400-0_01,mono,2,0.8946070075035095,1.0585997746707887,1.5769826173782349
400-0_1,mono,2,0.9949312210083008,1.0636421123799815,3.520803928375244
450-0_001,mono,2,0.39849698543548584,1.654747839557847,8.635234832763672
450-0_01,mono,2,0.7253281474113464,5.467137911109149,10.617201805114746
450-0_1,mono,2,0.9900304675102234,0.5644376812046382,1.3285222053527832
RT-0_001,baseline,3,-0.01991581916809082,66.8130627314936,85.93694305419922
RT-0_01,baseline,3,0.9967976808547974,2.2657677967189582,1.0435795783996582
RT-0_1,baseline,3,0.982649028301239,8.469435097548244,9.703229904174805
150-0_001,baseline,3,0.9785329699516296,10.08472485569334,37.36161804199219
150-0_01,baseline,3,0.09092557430267334,69.18903848786309,29.92308807373047
150-0_1,baseline,3,0.9562703967094421,9.213248159600967,4.829709053039551
250-0_001,baseline,3,0.9430630803108215,5.060339384194259,20.464935302734375
250-0_01,baseline,3,0.9243089556694031,4.042964504073858,2.881242036819458
250-0_1,baseline,3,0.9896952509880066,4.570313960670172,13.668229103088379
300-0_001,baseline,3,0.9667315483093262,2.1868705933933392,3.510070323944092
300-0_01,baseline,3,0.8260875940322876,6.12078868346768,6.722780227661133
300-0_1,baseline,3,0.9849244356155396,2.8660903203432433,2.009509801864624
350-0_001,baseline,3,0.8965586423873901,3.870242243634636,5.957157135009766
350-0_01,baseline,3,0.9802281856536865,2.1666519702510763,4.000707626342773
350-0_1,baseline,3,0.9762473106384277,3.6542266724783974,1.2718406915664673
400-0_001,baseline,3,0.9433748722076416,1.0883828492946743,5.042717933654785
400-0_01,baseline,3,0.9927555322647095,0.6107997377983385,1.5649583339691162
400-0_1,baseline,3,0.9882125854492188,2.077126284518387,1.290690541267395
450-0_001,baseline,3,0.591877281665802,1.7089187347885229,7.826143264770508
450-0_01,baseline,3,0.8983656167984009,1.1271092457122422,2.811044454574585
450-0_1,baseline,3,0.8480004072189331,1.5691677494757765,1.9379805326461792
RT-0_001,mono,3,-0.044675350189208984,67.61918008690286,85.38158416748047
RT-0_01,mono,3,0.9940245747566223,3.0950482659589853,1.0302753448486328
RT-0_1,mono,3,0.9858863949775696,7.6385572635067085,8.256699562072754
150-0_001,mono,3,0.9673340916633606,12.440147233195987,46.470428466796875
150-0_01,mono,3,0.1061747670173645,68.60628088844162,32.38030242919922
150-0_1,mono,3,0.9432169795036316,10.498672764772571,6.831770420074463
250-0_001,mono,3,0.9199590682983398,5.999828018266799,28.888214111328125
250-0_01,mono,3,0.9894943237304688,1.5062222964956307,1.2697012424468994
250-0_1,mono,3,0.9612006545066833,8.868293054703457,26.42141342163086
300-0_001,mono,3,0.9763996005058289,1.8419017903451012,3.517186164855957
300-0_01,mono,3,0.976177453994751,2.265354219237456,3.6168973445892334
300-0_1,mono,3,0.9812543988227844,3.1959685978785037,3.3518223762512207
350-0_001,mono,3,0.9043407440185547,3.721813062381489,7.796175003051758
350-0_01,mono,3,0.9136728048324585,4.527301198974974,10.517776489257812
350-0_1,mono,3,0.9833575487136841,3.058775369019058,3.3568625450134277
400-0_001,mono,3,0.8949985504150391,1.4820903663729343,6.737270832061768
400-0_01,mono,3,0.9768044948577881,1.0929454569212544,3.1448025703430176
400-0_1,mono,3,0.9932550191879272,1.5712424034839378,2.6966559886932373
450-0_001,mono,3,0.47854918241500854,1.9316690749492669,8.666382789611816
450-0_01,mono,3,0.9783697128295898,0.519968551500898,1.7102158069610596
450-0_1,mono,3,0.9191933274269104,1.144120490931425,2.508958339691162
RT-0_001,baseline,4,0.9430400729179382,14.959340237843463,7.104333400726318
RT-0_01,baseline,4,0.9840190410614014,4.552372182008025,2.116990327835083
RT-0_1,baseline,4,0.9555356502532959,14.187947942577498,1.7794560194015503
150-0_001,baseline,4,0.9913464784622192,3.2171665481841134,1.744794487953186
150-0_01,baseline,4,0.6716947555541992,20.587229412734928,5.804321765899658
150-0_1,baseline,4,0.9501407742500305,12.955811740733505,3.6084930896759033
250-0_001,baseline,4,0.9451001882553101,4.876061152850014,23.291263580322266
250-0_01,baseline,4,0.9876865744590759,1.20419274052217,1.004199504852295
250-0_1,baseline,4,0.9883097410202026,6.3702799957396765,23.260940551757812
300-0_001,baseline,4,0.9274405241012573,4.1762706444831466,3.7787058353424072
