fold,base_AARE,mono_AARE,base_R2,mono_R2,dAARE,rate
250-0_1,24.671,19.632,0.422,0.549,5.04,0.1
350-0_01,13.299,11.242,0.731,0.807,2.057,0.01
350-0_001,10.723,8.891,0.835,0.861,1.832,0.001
400-0_01,6.689,5.012,0.873,0.922,1.678,0.01
450-0_1,12.353,10.684,0.367,0.564,1.669,0.1
450-0_001,14.334,13.106,0.591,0.621,1.228,0.001
350-0_1,25.939,24.883,-0.312,-0.256,1.056,0.1
450-0_01,5.331,4.496,0.867,0.875,0.836,0.01
300-0_001,8.177,7.521,0.863,0.862,0.655,0.001
300-0_1,7.862,7.549,0.389,0.393,0.313,0.1
400-0_1,15.201,15.227,0.591,0.56,-0.026,0.1
250-0_001,9.481,9.704,0.867,0.838,-0.223,0.001
250-0_01,14.031,14.55,0.456,0.372,-0.519,0.01
400-0_001,9.103,9.627,0.817,0.824,-0.524,0.001
300-0_01,10.043,10.812,0.835,0.808,-0.77,0.01
